product_name,category_large,category_medium,item_type,grocery_item_name,brand_name
[도나스데이] 찰떡소보루,간식류,빵류,BAKERY,소보루빵,도나스데이
[김소형원방] 목편한 무꿀배 스틱,기타,기타,UNKNOWN,무꿀배,김소형원방
[랩노쉬] 단백쿠키바 골라담기,간식류,과자/스낵,SNACK,프로틴바,랩노쉬
[고메공방] 촉촉하고 바삭한 마늘바게트,간식류,빵류,BAKERY,마늘 바게트,고메공방
[니씬] 민트소금사탕,간식류,초콜릿/사탕,SNACK,민트 소금사탕,니씬
[데르뜨] 매일유업 우유 케이크,간식류,디저트/케이크,BAKERY,케이크,데르뜨
블랙 바틀 스모크 앤 대거,술,기타 주류,ALCOHOL,위스키,부나하븐
러셀 리저브 싱글배럴 버번 ,술,기타 주류,ALCOHOL,위스키,와일드 터키
[두유본색] 자색고구마 아침두유,유제품,우유/두유,DAIRY,두유,두유본색
라포스톨 그랑 셀렉션 소비뇽 블랑,술,와인,ALCOHOL,화이트 와인,라포스톨
[Dole] 후룻컵 파인애플,간식류,디저트/케이크,BAKERY,과일컵,Dole
[노포기행] 용강동식 돼지왕구이,육류/계란,돼지고기,RAW_MEAT,돼지갈비,노포기행
[고래사] 어묵탕 한그릇,간편식,레트로트,RTC_MEAL,레트로트,고래사
[고래사] 야채가득 사각어묵,수산물,어육가공식품,SIMPLE_PROCESSED,어묵 면,고래사
[마담로익] 크림치즈,유제품,치즈,DAIRY,크림치즈,마담로익
[ESTI] 후무스&피타칩스,간식류,과자/스낵,SNACK,쿠키,ESTI
[KF365] 한돈 (삼겹살 앞다리) 수육용,육류/계란,돼지고기,RAW_MEAT,앞다리살,KF365
덴신 유키 준마이 긴죠,술,기타 주류,ALCOHOL,사케,잇폰기 쿠보 본점
[cutie] 미국산 만다린,과일/견과류,과일,RAW_FRUIT,만다린,cutie
[남양] 떠먹는 불가리스 제로 요거트 플레인,유제품,요거트,DAIRY,요거트,남양
부쉬밀16년,술,기타 주류,ALCOHOL,위스키,부쉬밀
조니워커블랙,술,기타 주류,ALCOHOL,위스키,조니워커
[넘버원양꼬치] 북경식 통오리 밀전병,간편식,밀키트,RTC_MEAL,밀키트,넘버원양꼬치
[KF365] 인기 숯불 고기 모음,육류/계란,돼지고기,RAW_MEAT,모둠 돼지고기,KF365
[김재식헬스푸드] 진한 배즙 도라지 배숙,기타,기타,UNKNOWN,배도라지,김재식헬스푸드
[도리깨침] 잡채,간편식,반찬류,SIMPLE_PROCESSED,잡채,도리깨침
[고추명가] 김치찌개 소스,조미료,양념/소스,SAUCE_SEASONING,김치찌개 소스,고추명가
[룩트] 아이슬란딕 요거트,유제품,요거트,DAIRY,요거트,룩트
[롯데웰푸드] 구구 아이스크림,간식류,디저트/케이크,BAKERY,아이스크림,롯데웰푸드
자이언트 스텝스 야라 밸리 샤도네이 ,술,와인,ALCOHOL,화이트 와인,자이언트 스텝스
[가농바이오] 오메가에그 무항생제 1+등급 특란,육류/계란,계란,RAW_MEAT,계란,가농바이오
[로로멜로] 아이스 브륄레,간식류,디저트/케이크,BAKERY,브륄레,로로멜로
[만선] 조림용 고등어,수산물,생선,RAW_SEAFOOD,고등어,만선
마르케스 데 리스칼 리제르바,술,와인,ALCOHOL,레드 와인,마르케스 데 리스칼
[떡편] 옥수수 기정떡,간식류,떡,SNACK,기정떡,떡편
[김호윤키친] 더이탈리안클럽 엔초비&푸타네스카 파스타,간편식,밀키트,RTC_MEAL,밀키트,김호윤키친
[떡미당] 구슬꿀떡,간식류,떡,SNACK,꿀떡,떡미당
[리치몬드 과자점] 갈레트 데 루와,간식류,디저트/케이크,BAKERY,파이,리치몬드 과자점
[농협] 임실 순수 치즈,유제품,치즈,DAIRY,치즈,농협
(뉴질랜드) 밀키오 목초사육 방탄커피 기버터 Ghee,유제품,버터/생크림,DAIRY,기버터,뉴질랜드
[말돈] 플레이크 소금,조미료,조미료,SAUCE_SEASONING,소금,말돈
[라빠르쉐] 브라운 각설탕,조미료,조미료,SAUCE_SEASONING,설탕,라빠르쉐
[니비시] 사시미 간장,조미료,양념/소스,SAUCE_SEASONING,간장,니비시
[마이노멀] 국산 저당 고추장,조미료,양념/소스,SAUCE_SEASONING,고추장,마이노멀
[다담] 우렁강된장,조미료,양념/소스,SAUCE_SEASONING,강된장,다담
[농부플러스] 저온 압착 참기름,조미료,식용유/기름,SAUCE_SEASONING,참기름,농부플러스
[드니그리스] 유기농 사과 식초,조미료,양념/소스,SAUCE_SEASONING,식초,드니그리스
[드로게리아] 통흑후추,조미료,향신료/허브,SAUCE_SEASONING,후추,드로게리아
[KF365] 깐마늘,채소/곡물류,채소,RAW_PRODUCE,마늘,KF365
[백설] 맛술 생강,조미료,양념/소스,SAUCE_SEASONING,맛술,백설
[KF365] 양파,채소/곡물류,채소,RAW_PRODUCE,양파,KF365
[KF365] 깐대파,채소/곡물류,채소,RAW_PRODUCE,대파,KF365
[KF365] 청양고추,채소/곡물류,채소,RAW_PRODUCE,청양고추,KF365
[KF365] 밥상의 진미 쌀,채소/곡물류,쌀/잡곡,GRAIN,쌀,KF365
[백설] 강력밀가루,조미료,가루분말,SAUCE_SEASONING,밀가루,백설
[농심] 농심라면,간편식,라면,INSTANT,농심라면,농심
[루스티켈라] 파스타면,채소/곡물류,면류,GRAIN,파스타면,루스티켈라
[CJ] 베트남 쌀국수,간편식,밀키트,RTC_MEAL,밀키트,CJ
[CJ] 만번치댄 사누끼 우동면,채소/곡물류,면류,GRAIN,우동면,CJ
[갓지은] 모듬영양찰떡,간식류,떡,SNACK,찰떡,갓지은
[야미요밀] 식빵,간식류,빵류,BAKERY,식빵,야미요밀
[경자국밥] 돼지국밥,간편식,레트로트,RTC_MEAL,레트로트,경자국밥
[비비고] 돼지고기김치찌개,간편식,레트로트,RTC_MEAL,레트로트,비비고
[느린마을] 소고기 육전,간편식,반찬류,SIMPLE_PROCESSED,육전,느린마을
[Better me] 냉장 닭가슴살,육류/계란,닭고기,RAW_MEAT,닭가슴살,Better me
[99달걀] 운란,육류/계란,계란,RAW_MEAT,달걀,99달걀
[오스카마이어] 베이컨,육류/계란,가공육(햄/소시지),PROCESSED_MEAT,베이컨,오스카마이어
[99소시지] 삼겹 후랑크 소시지,육류/계란,가공육(햄/소시지),PROCESSED_MEAT,소시지,99소시지
[ardo] 냉동 방울양배추,채소/곡물류,채소,RAW_PRODUCE,방울양배추,ardo
[KF365] 무,채소/곡물류,채소,RAW_PRODUCE,무,KF365
[바름팜] 넉넉하게 담은 흙당근,채소/곡물류,채소,RAW_PRODUCE,당근,바름팜
[Picard] 냉동 알감자,채소/곡물류,채소,RAW_PRODUCE,감자,Picard
[KF365] 밤고구마,채소/곡물류,채소,RAW_PRODUCE,고구마,KF365
[KF365] 애호박,채소/곡물류,채소,RAW_PRODUCE,애호박,KF365
[KF365] 브로콜리,채소/곡물류,채소,RAW_PRODUCE,브로콜리,KF365
[둥구나무] 시금치나물,간편식,반찬류,SIMPLE_PROCESSED,시금치 나물,둥구나무
[KF365] 적상추,채소/곡물류,채소,RAW_PRODUCE,상추,KF365
[KF365] 깻잎,채소/곡물류,채소,RAW_PRODUCE,깻잎,KF365
[KF365] 부추,채소/곡물류,채소,RAW_PRODUCE,부추,KF365
[남양] 아인슈타인 DHA 우유,유제품,우유/두유,DAIRY,우유,남양
[CnF] 대파&베이컨 크림치즈,유제품,치즈,DAIRY,치즈,CnF
[고넛츠] 유기농 땅콩버터,유제품,버터/생크림,DAIRY,버터,고넛츠
[김구원선생] 무농약 숙주나물,채소/곡물류,채소,RAW_PRODUCE,숙주나물,김구원선생
[Picard] 퐁당 오 쇼콜라,간식류,디저트/케이크,BAKERY,쇼콜라,Picard
[마이노멀] 저당 굴소스,조미료,양념/소스,SAUCE_SEASONING,굴소스,마이노멀
[델파파] 퓨어 올리브유,조미료,식용유/기름,SAUCE_SEASONING,올리브유,델파파
[백설] 카놀라유,조미료,식용유/기름,SAUCE_SEASONING,카놀라유,백설
[샘표] 새미네부엌 진간장,조미료,양념/소스,SAUCE_SEASONING,진간장,샘표
[샘표] 국산콩 양조간장,조미료,양념/소스,SAUCE_SEASONING,양조간장,샘표
[샘표] 새미네부엌 국간장,조미료,양념/소스,SAUCE_SEASONING,국간장,샘표
[고맙당] 저당 쌈장,조미료,양념/소스,SAUCE_SEASONING,쌈장,고맙당
[비비드키친] 저칼로리 케첩,조미료,양념/소스,SAUCE_SEASONING,케첩,비비드키친
[오뚜기] 1 2 하프 마요네즈,조미료,양념/소스,SAUCE_SEASONING,마요네즈,오뚜기
[보르니에르] 홀그레인 머스타드,조미료,양념/소스,SAUCE_SEASONING,머스타드,보르니에르
[미식회관] 타코와사비,간편식,레트로트,RTC_MEAL,타코 와사비,미식회관
[백설] 물엿,조미료,양념/소스,SAUCE_SEASONING,물엿,백설
[백설] 요리올리고당,조미료,양념/소스,SAUCE_SEASONING,올리고당,백설
[쌍계명차] 꿀,조미료,양념/소스,SAUCE_SEASONING,꿀,쌍계명차
[아지플러스] 요리용청주,조미료,양념/소스,SAUCE_SEASONING,청주,아지플러스
[ISFI] 월계수잎,조미료,향신료/허브,SAUCE_SEASONING,월계수잎,ISFI
[ISFI] 바질,조미료,향신료/허브,SAUCE_SEASONING,바질,ISFI
[ISFI] 오레가노홀,조미료,향신료/허브,SAUCE_SEASONING,오레가노,ISFI
[ISFI] 파슬리,조미료,향신료/허브,SAUCE_SEASONING,파슬리,ISFI
[브레드타임] 메론빵,간식류,빵류,BAKERY,메론빵,브레드타임
[올가] 우리밀 카레가루,조미료,가루분말,SAUCE_SEASONING,카레가루,올가
[KF365] 춘천식 닭갈비,간편식,밀키트,RTC_MEAL,밀키트,KF365
[미식당] 닭다리살 꼬치,육류/계란,닭고기,RAW_MEAT,닭다리살,미식당
[KF365] 냉동 손질 오징어,수산물,오징어/문어,RAW_SEAFOOD,오징어,KF365
[고메] 바삭탱글한 칠리새우,간편식,냉동식품,FROZEN_MEAL,새우튀김,고메
[삼삼물산] 남해안 개조개,수산물,조개/전복,RAW_SEAFOOD,개조개,삼삼물산
[대흥] 남해안 생굴 (중굴,수산물,조개/전복,RAW_SEAFOOD,굴,대흥
[KF365] 명인 명란,수산물,어란,RAW_SEAFOOD,명란,KF365
[Kurly's] 돈육햄,육류/계란,가공육(햄/소시지),PROCESSED_MEAT,햄,Kurly's
[스팸] 동그란 스팸,상온식품,참치/스팸캔,CANNED,스팸,스팸
[KF365] 대추방울토마토,채소/곡물류,채소,RAW_PRODUCE,방울토마토,KF365
[KF365] 파프리카,채소/곡물류,채소,RAW_PRODUCE,파프리카,KF365
[KF365] 백다다기오이,채소/곡물류,채소,RAW_PRODUCE,오이,KF365
[KF365] 가지,채소/곡물류,채소,RAW_PRODUCE,가지,KF365
[김구원선생] 유기농 콩나물,채소/곡물류,채소,RAW_PRODUCE,콩나물,김구원선생
[둥구나무] 쑥갓나물,간편식,반찬류,SIMPLE_PROCESSED,쑥갓나물,둥구나무
[롯데호텔] 배추김치,간편식,반찬류,SIMPLE_PROCESSED,배추김치,롯데호텔
[농협풍산김치] 깍두기,간편식,반찬류,SIMPLE_PROCESSED,깍두기,농협풍산김치
[도리깨침] 열무김치,간편식,반찬류,SIMPLE_PROCESSED,열무김치,도리깨침
[KC] 노랑 옥수수,채소/곡물류,채소,RAW_PRODUCE,옥수수,KC
[ardo] 냉동 완두콩,채소/곡물류,채소,RAW_PRODUCE,완두콩,ardo
[KF365] 청양고추,채소/곡물류,채소,RAW_PRODUCE,청양고추,KF365
[KF365] 친환경 표고버섯,채소/곡물류,채소,RAW_PRODUCE,표고버섯,KF365
[Dole] 스위티오 바나나,과일/견과류,과일,RAW_FRUIT,바나나,Dole
[만나다] 프레시 조각 오렌지,과일/견과류,과일,RAW_FRUIT,오렌지,만나다
[그린너트] 점보건포도,과일/견과류,과일,RAW_FRUIT,포도,그린너트
[수미과] 조각 수박,과일/견과류,과일,RAW_FRUIT,수박,수미과
[아이농] 유기농 신고배,과일/견과류,과일,RAW_FRUIT,배,아이농
[귤로장생] 제주 하우스 감귤,과일/견과류,과일,RAW_FRUIT,귤,귤로장생
[KF365] 유기농 현미,채소/곡물류,쌀/잡곡,GRAIN,현미,KF365
[떡미당] 밥알찹쌀떡,간편식,떡,SNACK,찹쌀떡,떡미당
[백설] 대왕 납작 당면,채소/곡물류,면류,GRAIN,납작 당면,백설
[CJ] 베트남 쌀국수,간편식,밀키트,RTC_MEAL,밀키트,CJ
[CJ] 동치미 물냉면,간편식,밀키트,RTC_MEAL,밀키트,CJ
[고메공방] 들기름 막국수,간편식,밀키트,RTC_MEAL,밀키트,고메공방
[리틀 차이나] 짜장면,간편식,밀키트,RTC_MEAL,밀키트,리틀 차이나
[빙그레] 요구르트,유제품,요거트,DAIRY,요구르트,빙그레
[덴마크] 생크림,유제품,버터/생크림,DAIRY,생크림,덴마크
[마담로익] 크림치즈,유제품,치즈,DAIRY,크림치즈,마담로익
[댓츠] 국산 원유 후레시 모짜렐라 치즈,유제품,치즈,DAIRY,모짜렐라 치즈,댓츠
[남양] 드빈치 자연방목 체다 치즈,유제품,치즈,DAIRY,체다 치즈,남양
[CJ] 행복한콩 고소한 촌두부,채소/곡물류,콩/두부,SIMPLE_PROCESSED,두부,CJ
[맑은물에] 순두부,채소/곡물류,콩/두부,SIMPLE_PROCESSED,순두부,맑은물에
[와코] 사각 유부,채소/곡물류,콩/두부,SIMPLE_PROCESSED,유부,와코
[매일] 연유,유제품,우유/두유,DAIRY,연유,매일
[DIMES] 석류 착즙주스,음료,주스,BEVERAGE,석류주스,DIMES
[아카페라] 커피,음료,커피/차,BEVERAGE,커피,아카페라
[낫띵베럴] 럽티 레몬녹차,음료,커피/차,BEVERAGE,레몬녹차,낫띵베럴
리키 밀맥주,술,맥주,ALCOHOL,맥주,세븐브로이맥주
[다시다] 쇠고기 다시다,조미료,조미료,SAUCE_SEASONING,다시다,다시다
[김정배명인] 새우젓,조미료,양념/소스,SAUCE_SEASONING,새우젓,김정배명인
[올가] 우리밀 카레가루,조미료,가루분말,SAUCE_SEASONING,카레가루,올가
[오뚜기] 짜장가루,조미료,가루분말,SAUCE_SEASONING,짜장가루,오뚜기
[곰표] 나트륨을 줄인 튀김가루,조미료,가루분말,SAUCE_SEASONING,튀김가루,곰표
[동원] 빵가루,조미료,가루분말,SAUCE_SEASONING,빵가루,동원
[오뚜기] 부침가루,조미료,가루분말,SAUCE_SEASONING,부침가루,오뚜기
[배대감] 베이킹파우더,조미료,가루분말,SAUCE_SEASONING,베이킹파우더,배대감
[안티모카푸토] 드라이 이스트,조미료,가루분말,SAUCE_SEASONING,이스트,안티모카푸토
[배대감] 볶음참깨,채소/곡물류,쌀/잡곡,GRAIN,참깨,배대감
[마마리] 들깨 미역국,간편식,레트로트,RTC_MEAL,레트로트,마마리
[바로담아] 들기름,조미료,식용유/기름,SAUCE_SEASONING,들기름,바로담아
[바쏘] 포도씨유,조미료,식용유/기름,SAUCE_SEASONING,포도씨유,바쏘
[백설] 해바라기씨유,조미료,식용유/기름,SAUCE_SEASONING,해바라기씨유,백설
[Kurly's] 물만두,간편식,냉동식품,FROZEN_MEAL,만두,Kurly's
[사세] 바삭한 치킨너겟,간편식,냉동식품,FROZEN_MEAL,치킨너겟,사세
[99핫도그] 크리스피 핫도그,간편식,냉동식품,FROZEN_MEAL,핫도그,99핫도그
[고래사] 가정용 꼬치어묵,수산물,어육가공식품,SIMPLE_PROCESSED,어묵,고래사
[새로미어묵] 바른공식 게맛살,수산물,어육가공식품,SIMPLE_PROCESSED,게맛살,새로미어묵
[델리치오] 와규 햄버거 패티,육류/계란,가공육(햄/소시지),PROCESSED_MEAT,패티,델리치오
[강릉상회] 손질멸치,수산물,멸치/건어물,DRIED_SEAFOOD,멸치,강릉상회
[건어물상회] 황태채,수산물,멸치/건어물,DRIED_SEAFOOD,황태,건어물상회
[KF365] 기장 다시마,수산물,미역/다시마,DRIED_SEAFOOD,다시마,KF365
[CJ] 명가 재래김,상온식품,김/자반,DRIED_SEAFOOD,김,CJ
[KF365] 기장 미역,수산물,미역/다시마,DRIED_SEAFOOD,미역,KF365
[CJ] 명가 파래김,상온식품,김/자반,DRIED_SEAFOOD,김,CJ
[KF365] 친환경 표고버섯,채소/곡물류,버섯,RAW_PRODUCE,표고버섯,KF365
[수산곳간] 반건조한치,수산물,오징어/문어,RAW_SEAFOOD,한치,수산곳간
[유기샘] 무농약 건대추,과일/견과류,과일,RAW_FRUIT,대추,유기샘
[그린너트] 점보건포도,과일/견과류,과일,RAW_FRUIT,포도,그린너트
[KF365] 팽이버섯,채소/곡물류,버섯,RAW_PRODUCE,팽이버섯,KF365
[KF365] 새송이버섯,채소/곡물류,버섯,RAW_PRODUCE,새송이버섯,KF365
[비움반찬] 느타리버섯볶음,채소/곡물류,버섯,RAW_PRODUCE,느타리버섯,비움반찬
[KF365] 새송이버섯,채소/곡물류,버섯,RAW_PRODUCE,송이버섯,KF365
[KF365] 방울토마토,채소/곡물류,채소,RAW_PRODUCE,방울토마토,KF365
[비비고] 갓김치,간편식,반찬류,SIMPLE_PROCESSED,갓김치,비비고
[둥구나무] 오이소박이,간편식,반찬류,SIMPLE_PROCESSED,오이소박이,둥구나무
[KF365] 깐마늘,채소/곡물류,채소,RAW_PRODUCE,마늘,KF365
[땅끝농협] 국산 다진마늘,채소/곡물류,채소,RAW_PRODUCE,마늘,땅끝농협
[마마리] 연근 닭강정,간편식,냉동식품,FROZEN_MEAL,닭강정,마마리
[바름팜] 친환경 우엉,채소/곡물류,채소,RAW_PRODUCE,우엉,바름팜
[둥구나무] 죽순볶음,간편식,반찬류,SIMPLE_PROCESSED,죽순볶음,둥구나무
[바름팜] 친환경 고사리,채소/곡물류,채소,RAW_PRODUCE,고사리,바름팜
[김정환홍삼] 홍삼배도라지,기타,기타,UNKNOWN,배도라지,김정환홍삼
[바름팜] 친환경 손질한 더덕,채소/곡물류,채소,RAW_PRODUCE,더덕,바름팜
[둥구나무 : 자연그대로] 취나물,간편식,반찬류,SIMPLE_PROCESSED,취나물,둥구나무 : 자연그대로
[KF365] 제주토막갈치,수산물,생선,RAW_SEAFOOD,갈치,KF365
[KF365] 국산 손질 고등어,수산물,생선,RAW_SEAFOOD,고등어,KF365
[비비고] 순살삼치구이,간편식,냉동식품,FROZEN_MEAL,삼치구이,비비고
[선물세트] 조선호텔 훈제연어,수산물,어육가공식품,SIMPLE_PROCESSED,훈제연어,선물세트
[KF365] 완도 전복,수산물,조개/전복,RAW_SEAFOOD,전복,KF365
[강릉상회] 국산 건홍합,수산물,조개/전복,RAW_SEAFOOD,홍합,강릉상회
[KF365] 참바지락,수산물,조개/전복,RAW_SEAFOOD,바지락,KF365
[만선] 모시조개 (생물),수산물,조개/전복,RAW_SEAFOOD,모시조개,만선
[동광젓갈] 멍게무침,간편식,반찬류,SIMPLE_PROCESSED,멍게무침,동광젓갈
[미식회관] 바로바로 호롱낙지,수산물,오징어/문어,RAW_SEAFOOD,낙지,미식회관
[KF365] 깐 메추리알,육류/계란,계란,RAW_MEAT,메추리알,KF365
[소팔소곱창] 곱창,육류/계란,소고기,RAW_MEAT,소곱창,소팔소곱창
[곱이고운] 소대창,육류/계란,소고기,RAW_MEAT,소대창,곱이고운
[99족발] 순살 족발,간편식,레트로트,RTC_MEAL,족발,99족발
[고메] 대가 탕수육,간편식,냉동식품,FROZEN_MEAL,탕수육,고메
[궁] 골든올리브 육포,육류/계란,가공육(햄/소시지),PROCESSED_MEAT,육포,궁
[Dole] 해금 골드키위,과일/견과류,과일,RAW_FRUIT,키위,Dole
[기획상품] 칠레산 블루베리,과일/견과류,과일,RAW_FRUIT,블루베리,기획상품
[라라스윗] 파인트 오렌지앤라즈베리,간식류,디저트/케이크,BAKERY,아이스크림,라라스윗
[KF365] 아보카도,과일/견과류,과일,RAW_FRUIT,아보카도,KF365
[쁘띠첼] 미초 석류,조미료,양념/소스,SAUCE_SEASONING,미초,쁘띠첼
[더벨로] 무화과 통밀빵,간식류,빵류,BAKERY,통밀빵,더벨로
[감코리아] 햇 둥시 곶감,간식류,디저트/케이크,BAKERY,곶감,감코리아
[유기샘] 무농약 건대추,과일/견과류,과일,RAW_FRUIT,대추,유기샘
[CJ] 맛군밤,간식류,디저트/케이크,BAKERY,맛밤,CJ
[매일] 매일두유 검은콩,유제품,우유/두유,DAIRY,두유,매일
[더리얼] 한입 찐 강낭콩,채소/곡물류,쌀/잡곡,GRAIN,강낭콩,더리얼
[담꽃] 팥양갱,간식류,디저트/케이크,BAKERY,양갱,담꽃
[섬죽] 닭녹두죽,간편식,레트로트,RTC_MEAL,레트로트,섬죽
[러베지] 병아리콩 후무스,상온식품,잼/스프레드,SAUCE_SEASONING,후무스,러베지
[매일] 매일두유 렌틸콩,유제품,우유/두유,DAIRY,두유,매일
[HBAF] 군옥수수맛 아몬드,과일/견과류,견과류,RAW_FRUIT,아몬드,HBAF
[그린너트] 호두,과일/견과류,견과류,RAW_FRUIT,호두,그린너트
[HBAF] 넛츠앤스낵스 땅콩,과일/견과류,견과류,RAW_FRUIT,땅콩,HBAF
[담터] 캐슈넛,과일/견과류,견과류,RAW_FRUIT,캐슈넛,담터
[그린너트] 구운 피스타치오,과일/견과류,견과류,RAW_FRUIT,피스타치오,그린너트
[그린너트] 해바라기씨,과일/견과류,견과류,RAW_FRUIT,해바라기씨,그린너트
